,power,flag,now_timestamp,future_timestamp,power_future_15min,positive_3p,negative_3p,positive_7p,negative_7p
0,404.8963,not time yet,2024-10-07 08:13:00,2024-10-07 08:28:00,405.4101,417.57239807128906,393.24779235839844,433.78880187988284,377.03138854980466
1,403.559,not time yet,2024-10-07 08:16:00,2024-10-07 08:31:00,404.26822,416.39626556396485,392.1401724243164,432.56699432373046,375.9694436645508
2,402.048,not time yet,2024-10-07 08:18:00,2024-10-07 08:33:00,403.87714,415.99345031738284,391.76082214355466,432.1485357666016,375.6057366943359
3,403.8936,not time yet,2024-10-07 08:19:00,2024-10-07 08:34:00,404.6183,416.7568347167969,392.4797375488281,432.9415661621094,376.2950061035156
4,402.5741,not time yet,2024-10-07 08:21:00,2024-10-07 08:36:00,404.5708,416.7079248046875,392.4336767578125,432.8907568359375,376.2508447265625
5,402.5741,not time yet,2024-10-07 08:21:00,2024-10-07 08:36:00,404.54526,416.68161529541015,392.4088998413086,432.86342559814454,376.2270895385742
6,403.6452,not time yet,2024-10-07 08:24:00,2024-10-07 08:39:00,404.9442,417.0925402832031,392.7958874511719,433.2903088378906,376.5981188964844
7,405.9054,not time yet,2024-10-07 08:25:00,2024-10-07 08:40:00,406.25674,418.4444467163086,394.06904205322263,434.69471649169924,377.818772277832
8,404.9879,not time yet,2024-10-07 08:26:00,2024-10-07 08:41:00,406.25235,418.4399203491211,394.06477935791014,434.69001434326174,377.8146853637695
9,403.2474,Correct Estimation for PM energy,2024-10-07 08:28:00,2024-10-07 08:43:00,405.667,417.837001953125,393.496982421875,434.063681640625,377.270302734375
10,404.4611,not time yet,2024-10-07 08:29:00,2024-10-07 08:44:00,405.8323,418.00727508544924,393.657336730957,434.24056732177735,377.4240444946289
11,476.2511,Problem in the Device,2024-10-07 08:31:00,2024-10-07 08:46:00,417.69296,430.2237515258789,405.1621737670898,446.9314700317383,388.45445526123046
12,507.9816,not time yet,2024-10-07 08:32:00,2024-10-07 08:47:00,427.9408,440.7790197753906,415.1025720214844,457.89665161132814,397.98494018554686
13,511.0365,Problem in the Device,2024-10-07 08:34:00,2024-10-07 08:49:00,435.60675,448.67495300292967,422.53854797363283,466.09922302246093,405.11427795410157
14,511.2104,not time yet,2024-10-07 08:35:00,2024-10-07 08:50:00,442.07,455.3321075439453,428.8079071044922,473.01490783691406,411.12510681152344
15,433.0737,not time yet,2024-10-07 08:37:00,2024-10-07 08:52:00,438.19437,451.34019744873046,425.0485354614258,468.8679721069336,407.52076080322263
16,409.5438,not time yet,2024-10-07 08:38:00,2024-10-07 08:53:00,430.25647,443.1641638183594,417.3487756347656,460.3744226074219,400.1385168457031
17,411.9848,Correct Estimation for PM energy,2024-10-07 08:40:00,2024-10-07 08:55:00,423.32364,436.0233480834961,410.62392974853515,452.9562936401367,393.69098419189453
18,411.3414,Correct Estimation for PM energy,2024-10-07 08:41:00,2024-10-07 08:56:00,417.77518,430.30843231201175,405.2419216918945,447.01943939208985,388.5309146118164
19,408.813,not time yet,2024-10-07 08:42:00,2024-10-07 08:57:00,411.2766,423.61490966796873,398.93831298828127,440.06597412109375,382.48724853515625
20,406.8805,Correct Estimation for PM energy,2024-10-07 08:44:00,2024-10-07 08:59:00,409.1476,421.42204193115236,396.8731851196289,437.78794647216796,380.5072805786133
21,403.7359,not time yet,2024-10-07 08:45:00,2024-10-07 09:00:00,407.62018,419.8487835693359,395.3915728759766,436.15359069824217,379.08676574707033
22,400.9995,Potential Faulty Estimation,2024-10-07 08:47:00,2024-10-07 09:02:00,405.72882,417.9006854248047,393.5569561767578,434.1298382568359,377.3278033447266
23,402.8833,not time yet,2024-10-07 08:48:00,2024-10-07 09:03:00,405.1756,417.3308660888672,393.0203302001953,433.53789001464844,376.81330627441406
24,402.85,Problem in the Device,2024-10-07 08:49:00,2024-10-07 09:04:00,404.80225,416.9463134765625,392.6581787109375,433.1384033203125,376.4660888671875
